Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm
2,0.11316435784101486,2.966048071733246,0.13958024978637695,0.18302899599075317,3.10750726262631
3,0.17625246942043304,4.2088608946187795,0.01660013198852539,0.28837472200393677,4.125972193789229
4,0.30412209033966064,5.979128113835759,0.021103858947753906,0.5828294157981873,6.146694245154643
5,0.5630055069923401,8.498648474289798,0.01075601577758789,1.0635439157485962,8.453362889034093
6,1.086855173110962,12.083106674337632,0.00983881950378418,2.199207067489624,12.302478577430172
7,2.1465842723846436,17.181629226196435,0.010992765426635742,4.2648606300354,17.211212418083736
8,4.29010534286499,24.433060068275093,0.014129877090454102,8.771024703979492,24.757193968616278
9,8.625547409057617,34.74601162026295,0.013350725173950195,17.419315338134766,34.92600670639301
10,17.394062042236328,49.412712691898136,0.009124994277954102,35.570556640625,49.94910081918896
11,35.1282844543457,70.2709136313692,0.01048588752746582,71.34464263916016,70.75424407421661
12,70.9952621459961,99.93419638345904,0.011783123016357422,145.02450561523438,100.90037770107764
13,143.5351104736328,142.11942280670368,0.01263284683227539,292.15594482421875,143.21548995916964
14,290.244384765625,202.1124721059089,0.009469985961914062,592.3949584960938,203.94846856646882
15,586.958251953125,287.4305775909346,0.009286880493164062,1195.8280029296875,289.76517896157156
16,1187.0506591796875,408.76425919430227,0.00948786735534668,2421.62109375,412.3600759635537
17,2400.71337890625,581.3168362098457,0.010808229446411133,4893.11865234375,586.1556254479918
18,4855.29931640625,826.7093991553135,0.008766889572143555,9902.4365234375,833.8651092711427
19,9819.6044921875,1175.6903830700974,0.009798288345336914,20018.25,1185.5931276565232
20,19859.716796875,1671.9873023651037,0.009563207626342773,40498.8359375,1686.34320044458
21,40165.44140625,2377.7873542073007,0.009407997131347656,81889.15625,2397.931235230143
22,81232.9765625,3381.528428533259,0.010648012161254883,165643.171875,3410.446719645031
23,164290.421875,4808.980908139166,0.01112508773803711,334970.34375,4849.8360157612415
24,332270.84375,6839.006244848844,0.00944066047668457,677515.6875,6897.377400526873
25,672004.4375,9725.9726938171,0.08022713661193848,1370175.375,9808.71533376723
26,1359102.25,13831.622111981604,0.010647058486938477,2771230.25,13949.5610201714
27,2748731.5,19670.39648719621,0.009284019470214844,5604556.0,19837.85519012085
28,5559200.5,27973.90759696807,0.009490013122558594,11335201.0,28212.320513954142
29,11243263.0,39782.60223999003,0.009026050567626953,22924706.0,40121.392835750616
30,22739060.0,56576.133424168205,0.010560989379882812,46364732.0,57058.200752694385
31,45988860.0,80458.74755142847,0.010974884033203125,93770264.0,81144.05480926494
32,93010656.0,114423.00368367617,0.009683370590209961,189647488.0,115397.85920643757
33,188110336.0,162724.64740805476,0.011049985885620117,383553248.0,164110.72642936502
34,380445664.0,231415.94414614805,0.009859085083007812,775722944.0,233387.42491512842
35,769436416.0,329104.15610038256,0.010963916778564453,1568866944.0,331907.6414056373
