Epoch,Training Loss,Training Gradient Norm,Training Time (s),Test Loss,Test Gradient Norm,Test Accuracy
1,0.6943392753601074,0.07783027476489156,0.0965268611907959,0.6945783495903015,0.12532548533665655,0.4712499976158142
2,0.6943331956863403,0.07782332468527244,0.025574922561645508,0.6945740580558777,0.12531736876477384,0.4712499976158142
3,0.694327175617218,0.07781638542207418,0.025543928146362305,0.6945697665214539,0.12530926226665226,0.4712499976158142
4,0.6943211555480957,0.07780944977519856,0.024598121643066406,0.6945655345916748,0.12530117524404935,0.4712499976158142
5,0.6943150162696838,0.07780250813925711,0.02720808982849121,0.694561243057251,0.12529308889036372,0.4712499976158142
6,0.6943089962005615,0.07779559171008633,0.02287888526916504,0.6945569515228271,0.12528499136985102,0.4712499976158142
7,0.6943029165267944,0.07778867121240356,0.030377864837646484,0.6945526003837585,0.12527690983679524,0.4712499976158142
8,0.6942968964576721,0.07778176056039782,0.09683775901794434,0.6945484280586243,0.12526882421353105,0.4712499976158142
9,0.6942908763885498,0.07777485975309152,0.02979898452758789,0.6945441365242004,0.12526076873651515,0.4712499976158142
10,0.6942847371101379,0.07776796207004028,0.029217004776000977,0.6945397853851318,0.12525269616803564,0.4712499976158142
11,0.6942787170410156,0.0777610665498333,0.026407957077026367,0.694535493850708,0.12524463366483954,0.4712499976158142
12,0.6942727565765381,0.07775418854942198,0.025005102157592773,0.6945313215255737,0.12523660130711298,0.4712499976158142
13,0.694266676902771,0.07774730598901386,0.03240799903869629,0.6945270299911499,0.12522855661343288,0.4712499976158142
14,0.6942606568336487,0.07774044046669576,0.029129981994628906,0.6945227980613708,0.1252205219833313,0.4712499976158142
15,0.6942545175552368,0.07773357853864879,0.029894113540649414,0.6945185661315918,0.12521247617348097,0.4712499976158142
16,0.6942484974861145,0.07772671828822197,0.02496623992919922,0.6945143342018127,0.1252044616672939,0.4712499976158142
17,0.694242537021637,0.07771986978502178,0.02850794792175293,0.6945099830627441,0.12519643366150346,0.4712499976158142
18,0.6942364573478699,0.0777130224785713,0.028045177459716797,0.6945057511329651,0.12518841803216654,0.4712499976158142
19,0.6942304372787476,0.07770619316056004,0.09746694564819336,0.694501519203186,0.12518041722632609,0.4712499976158142
20,0.6942242980003357,0.07769935879207604,0.02806401252746582,0.6944972276687622,0.1251724193973004,0.4712499976158142
21,0.6942182779312134,0.07769252800507215,0.026382923126220703,0.6944930553436279,0.12516441153752425,0.4712499976158142
22,0.6942122578620911,0.07768571472357771,0.025341033935546875,0.6944887638092041,0.12515642558204532,0.4724999964237213
23,0.6942062377929688,0.07767890358836817,0.02337169647216797,0.6944844722747803,0.12514844259998362,0.4724999964237213
24,0.6942002177238464,0.07767208787250184,0.02386021614074707,0.694480299949646,0.12514046258992398,0.4724999964237213
25,0.6941941976547241,0.07766529638466192,0.023878812789916992,0.6944760084152222,0.12513249263293805,0.4724999964237213
26,0.6941881775856018,0.07765850799242958,0.023534059524536133,0.6944717168807983,0.12512453272811463,0.4724999964237213
27,0.6941821575164795,0.07765172269344266,0.023728132247924805,0.6944675445556641,0.12511658171860146,0.4724999964237213
28,0.6941760182380676,0.0776449400096128,0.02397298812866211,0.6944632530212402,0.12510861835529152,0.4724999964237213
29,0.6941700577735901,0.07763816666745571,0.07966208457946777,0.6944590210914612,0.12510067920774312,0.4724999964237213
30,0.6941640377044678,0.07763140409249722,0.023952960968017578,0.6944547891616821,0.1250927206209399,0.4737499952316284
31,0.6941580176353455,0.07762463692392987,0.025197982788085938,0.6944506168365479,0.1250847897133374,0.4737499952316284
32,0.6941519975662231,0.07761789397702606,0.023710250854492188,0.6944463849067688,0.12507687131644432,0.4737499952316284
33,0.6941459774971008,0.07761113154967927,0.023536205291748047,0.6944421529769897,0.12506894995347337,0.4737499952316284
34,0.694139838218689,0.07760439476564016,0.024324893951416016,0.6944378614425659,0.12506103155158665,0.4724999964237213
35,0.6941338181495667,0.07759766779057331,0.0239560604095459,0.6944336891174316,0.12505312203963745,0.4724999964237213
36,0.6941277980804443,0.07759094199628995,0.023793935775756836,0.6944294571876526,0.12504520840247302,0.4737499952316284
37,0.6941218376159668,0.0775842134935922,0.02409982681274414,0.6944252252578735,0.12503730480716355,0.4737499952316284
38,0.6941158175468445,0.07757750105386042,0.0793149471282959,0.6944209933280945,0.12502943020051333,0.4737499952316284
39,0.6941097974777222,0.07757079215915623,0.0230100154876709,0.6944167613983154,0.1250215384494991,0.4762499928474426
40,0.6941038370132446,0.07756409259356216,0.025232315063476562,0.6944125294685364,0.12501365673778728,0.4749999940395355
41,0.6940977573394775,0.07755738888938883,0.02428913116455078,0.6944084167480469,0.12500579099726117,0.4749999940395355
42,0.694091796875,0.07755070939797437,0.02349996566772461,0.6944040656089783,0.12499791288699331,0.4749999940395355
43,0.6940857172012329,0.07754402623657179,0.023308992385864258,0.694399893283844,0.12499004711735617,0.4749999940395355
44,0.6940797567367554,0.07753735145502813,0.024740219116210938,0.6943956017494202,0.12498218792793012,0.4749999940395355
45,0.6940737366676331,0.0775306739431109,0.02393198013305664,0.6943914294242859,0.12497434585993986,0.4749999940395355
46,0.6940677165985107,0.07752401201670257,0.023613929748535156,0.6943871974945068,0.12496650195719738,0.4749999940395355
47,0.6940617561340332,0.07751735361921876,0.023492097854614258,0.6943830251693726,0.12495865869909197,0.4749999940395355
48,0.6940557360649109,0.07751071222135289,0.023468017578125,0.6943787336349487,0.12495082547321389,0.4749999940395355
49,0.694049596786499,0.07750405946036701,0.024115800857543945,0.6943745613098145,0.12494299289152823,0.4749999940395355
50,0.6940436363220215,0.07749742322525534,0.08399200439453125,0.6943703293800354,0.12493517149100712,0.4762499928474426
51,0.6940376162528992,0.07749079003995206,0.023957014083862305,0.6943661570549011,0.12492736012016324,0.4762499928474426
52,0.6940315961837769,0.07748416664076854,0.02424907684326172,0.6943620443344116,0.12491954345457981,0.4762499928474426
53,0.6940256357192993,0.07747754628759096,0.02341914176940918,0.6943577527999878,0.1249117439038416,0.4762499928474426
54,0.694019615650177,0.07747093477770942,0.023267030715942383,0.694353461265564,0.12490395323117771,0.4762499928474426
55,0.6940135955810547,0.07746432051038006,0.023370981216430664,0.6943493485450745,0.1248961607079047,0.47749999165534973
56,0.6940076351165771,0.07745772903388719,0.02463388442993164,0.6943451762199402,0.12488836537841438,0.47749999165534973
57,0.6940016150474548,0.07745112711530082,0.023855924606323242,0.6943409442901611,0.12488058351924358,0.47749999165534973
58,0.6939955949783325,0.07744454892549499,0.02360701560974121,0.6943367719650269,0.1248728258590052,0.47874999046325684
59,0.6939896941184998,0.07743796562279374,0.024318933486938477,0.6943325996398926,0.12486505466158335,0.47874999046325684
60,0.6939836144447327,0.07743138629094462,0.0842428207397461,0.6943283677101135,0.12485728045699712,0.47874999046325684
61,0.6939776539802551,0.07742481532690129,0.02323007583618164,0.6943241357803345,0.12484952700728726,0.47874999046325684
62,0.6939716339111328,0.07741826228400257,0.023286104202270508,0.6943200826644897,0.12484177993111413,0.47874999046325684
63,0.6939656138420105,0.07741169063466027,0.02461409568786621,0.6943157911300659,0.12483404766849539,0.48124998807907104
64,0.693959653377533,0.07740514224213249,0.024636030197143555,0.6943116784095764,0.12482630415779743,0.48124998807907104
65,0.6939536333084106,0.0773986045541571,0.02441692352294922,0.6943073868751526,0.12481856242858634,0.48124998807907104
66,0.6939476728439331,0.07739206988881284,0.02407217025756836,0.6943032741546631,0.12481083780477717,0.48124998807907104
67,0.6939417123794556,0.0773855373095558,0.024636268615722656,0.6942991018295288,0.12480313143171382,0.48124998807907104
68,0.6939356923103333,0.07737901449497132,0.024626970291137695,0.6942948698997498,0.12479540327819814,0.48124998807907104
69,0.6939296722412109,0.07737248795144647,0.024398088455200195,0.6942906975746155,0.12478769451872124,0.48124998807907104
70,0.6939237713813782,0.07736598512873692,0.02481675148010254,0.694286584854126,0.12477999348140868,0.48124998807907104
