The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:183: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GNOM
Using Gradient-Norm Only Minimization (GNOM)
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 346.9545
Batch 20, Loss: 798.3057
Batch 30, Loss: 505.7288
Batch 40, Loss: 240.2302
Batch 50, Loss: 98.6124
Batch 60, Loss: 74.5737
Batch 70, Loss: 46.1256
Batch 80, Loss: 31.4234
Batch 90, Loss: 25.2386
Batch 100, Loss: 23.4491
Batch 110, Loss: 22.7211
Batch 120, Loss: 20.6661
Batch 130, Loss: 18.5016
Batch 140, Loss: 20.2707
Batch 150, Loss: 18.5558
Batch 160, Loss: 16.8646
Batch 170, Loss: 17.4422
Batch 180, Loss: 17.2285
Batch 190, Loss: 17.5418
Batch 200, Loss: 16.6026
Batch 210, Loss: 15.8221
Batch 220, Loss: 15.0880
Batch 230, Loss: 15.4170
Batch 240, Loss: 15.5868
Batch 250, Loss: 15.7306
Batch 260, Loss: 15.3255
Batch 270, Loss: 15.1648
Batch 280, Loss: 15.0322
Batch 290, Loss: 14.4224
Batch 300, Loss: 14.8624
Batch 310, Loss: 14.7255
Batch 320, Loss: 14.7477
Batch 330, Loss: 13.9430
Batch 340, Loss: 13.6056
Batch 350, Loss: 13.9375
Batch 360, Loss: 13.8985
Batch 370, Loss: 14.0590
Batch 380, Loss: 13.9801
Batch 390, Loss: 13.8177
Epoch 1 learning rate: 0.09999383162408304
Epoch 1 time: 127.93786144256592 seconds
Epoch 1 accuracy: 10.07%
Batch 10, Loss: 13.5544
Batch 20, Loss: 13.0737
Batch 30, Loss: 13.0267
Batch 40, Loss: 13.1805
Batch 50, Loss: 13.3247
Batch 60, Loss: 13.1977
Batch 70, Loss: 13.1704
Batch 80, Loss: 12.9432
Batch 90, Loss: 12.6526
