The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:216: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GNOM/basicaug/lr-0.05/batchsize-128/2024-08-04-19:30:43
Using Gradient-Norm Only Minimization (GNOM)
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 158.5983
Batch 20, Loss: 184.2693
Batch 30, Loss: 76.9567
Batch 40, Loss: 31.2335
Batch 50, Loss: 17.1552
Batch 60, Loss: 11.8749
Batch 70, Loss: 8.8462
Batch 80, Loss: 7.4202
Batch 90, Loss: 6.5702
Batch 100, Loss: 6.0862
Batch 110, Loss: 5.8882
Batch 120, Loss: 5.3442
Batch 130, Loss: 5.3269
Batch 140, Loss: 5.2512
Batch 150, Loss: 5.0422
Batch 160, Loss: 5.0590
Batch 170, Loss: 4.7826
Batch 180, Loss: 4.8439
Batch 190, Loss: 4.9438
Batch 200, Loss: 4.6172
Batch 210, Loss: 4.5227
Batch 220, Loss: 4.3825
Batch 230, Loss: 4.3211
Batch 240, Loss: 4.2767
Batch 250, Loss: 4.0687
Batch 260, Loss: 4.1033
Batch 270, Loss: 4.0157
Batch 280, Loss: 4.0317
Batch 290, Loss: 3.7185
Batch 300, Loss: 3.8767
Batch 310, Loss: 3.5704
Batch 320, Loss: 3.5005
Batch 330, Loss: 3.5768
Batch 340, Loss: 3.3869
Batch 350, Loss: 3.2619
Batch 360, Loss: 3.2662
Batch 370, Loss: 3.0649
Batch 380, Loss: 3.0969
Batch 390, Loss: 3.0786
Epoch 1 learning rate: 0.05
Epoch 1 time: 127.70490574836731 seconds
Epoch 1 accuracy: 10.17%
Batch 10, Loss: 2.9600
Batch 20, Loss: 3.0070
Batch 30, Loss: 2.8616
Batch 40, Loss: 2.9663
Batch 50, Loss: 2.7523
Batch 60, Loss: 2.8939
Batch 70, Loss: 2.7885
Batch 80, Loss: 2.9342
Batch 90, Loss: 2.8374
Batch 100, Loss: 2.7738
Batch 110, Loss: 2.6868
Batch 120, Loss: 2.7853
Batch 130, Loss: 2.6964
Batch 140, Loss: 2.7558
Batch 150, Loss: 2.6961
