The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:216: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GNOM/basicaug/lr-0.05/batchsize-128/2024-08-05-18:35:15
Using Gradient-Norm Only Minimization (GNOM)
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 130.7568
Batch 20, Loss: 66.6629
Batch 30, Loss: 38.2491
Batch 40, Loss: 19.9913
Batch 50, Loss: 13.1662
Batch 60, Loss: 8.1226
Batch 70, Loss: 6.7955
Batch 80, Loss: 6.6752
Batch 90, Loss: 5.2558
Batch 100, Loss: 4.3638
Batch 110, Loss: 3.8400
Batch 120, Loss: 3.6856
Batch 130, Loss: 3.3865
Batch 140, Loss: 3.0457
Batch 150, Loss: 3.0326
Batch 160, Loss: 3.0349
Batch 170, Loss: 2.9017
Batch 180, Loss: 2.7158
Batch 190, Loss: 2.6690
Batch 200, Loss: 2.6197
Batch 210, Loss: 2.5514
Batch 220, Loss: 2.4841
Batch 230, Loss: 2.5725
Batch 240, Loss: 2.5706
Batch 250, Loss: 2.5415
Batch 260, Loss: 2.3774
Batch 270, Loss: 2.4695
Batch 280, Loss: 2.3360
Batch 290, Loss: 2.2841
Batch 300, Loss: 2.4235
Batch 310, Loss: 2.2967
Batch 320, Loss: 2.3430
Batch 330, Loss: 2.2607
Batch 340, Loss: 2.3078
Batch 350, Loss: 2.3024
Batch 360, Loss: 2.2380
Batch 370, Loss: 2.2857
Batch 380, Loss: 2.2109
Batch 390, Loss: 2.2438
Epoch 1 learning rate: 0.05
Epoch 1 time: 129.2532615661621 seconds
Epoch 1 accuracy: 12.72%
Batch 10, Loss: 2.1777
Batch 20, Loss: 2.1478
Batch 30, Loss: 2.1676
Batch 40, Loss: 2.1425
Batch 50, Loss: 2.1791
Batch 60, Loss: 2.1742
Batch 70, Loss: 2.1945
Batch 80, Loss: 2.1571
Batch 90, Loss: 2.1967
Batch 100, Loss: 2.1737
Batch 110, Loss: 2.1067
Batch 120, Loss: 2.1707
Batch 130, Loss: 2.1151
Batch 140, Loss: 2.1697
Batch 150, Loss: 2.1527
Batch 160, Loss: 2.1089
Batch 170, Loss: 2.0815
Batch 180, Loss: 2.1244
Batch 190, Loss: 2.1234
Batch 200, Loss: 2.1880
Batch 210, Loss: 2.0817
Batch 220, Loss: 2.1005
Batch 230, Loss: 2.1222
Batch 240, Loss: 2.0699
Batch 250, Loss: 2.1243
Batch 260, Loss: 2.1742
Batch 270, Loss: 2.0695
Batch 280, Loss: 2.0465
Batch 290, Loss: 2.1001
Batch 300, Loss: 2.1288
Batch 310, Loss: 2.1312
Batch 320, Loss: 2.1340
Batch 330, Loss: 2.0711
Batch 340, Loss: 2.0617
Batch 350, Loss: 2.1022
Batch 360, Loss: 2.1004
Batch 370, Loss: 2.0710
Batch 380, Loss: 2.0202
Batch 390, Loss: 2.0826
Epoch 2 learning rate: 0.05
Epoch 2 time: 119.63897490501404 seconds
Epoch 2 accuracy: 15.0%
Batch 10, Loss: 2.0569
Batch 20, Loss: 2.0467
Batch 30, Loss: 1.9947
Batch 40, Loss: 2.0578
Batch 50, Loss: 2.0920
Batch 60, Loss: 2.1437
Batch 70, Loss: 2.1332
Batch 80, Loss: 2.0860
Batch 90, Loss: 2.0701
Batch 100, Loss: 2.0619
Batch 110, Loss: 2.0435
Batch 120, Loss: 2.0118
Batch 130, Loss: 2.0599
Batch 140, Loss: 1.9894
Batch 150, Loss: 2.0742
Batch 160, Loss: 2.0509
Batch 170, Loss: 2.0157
Batch 180, Loss: 2.0094
Batch 190, Loss: 2.0395
Batch 200, Loss: 2.0199
Batch 210, Loss: 2.0477
Batch 220, Loss: 2.0625
Batch 230, Loss: 2.0024
Batch 240, Loss: 2.0105
Batch 250, Loss: 1.9775
Batch 260, Loss: 1.9727
Batch 270, Loss: 2.0436
Batch 280, Loss: 2.0126
Batch 290, Loss: 2.0199
Batch 300, Loss: 1.9882
Batch 310, Loss: 1.9924
Batch 320, Loss: 1.9457
Batch 330, Loss: 1.9887
Batch 340, Loss: 2.0014
Batch 350, Loss: 2.0301
Batch 360, Loss: 1.9805
Batch 370, Loss: 2.0310
Batch 380, Loss: 2.0722
Batch 390, Loss: 2.0395
Epoch 3 learning rate: 0.05
Epoch 3 time: 120.03378891944885 seconds
Epoch 3 accuracy: 14.53%
Batch 10, Loss: 1.9883
Batch 20, Loss: 1.9819
Batch 30, Loss: 2.0010
Batch 40, Loss: 2.0253
Batch 50, Loss: 2.0219
Batch 60, Loss: 2.0266
Batch 70, Loss: 2.0009
Batch 80, Loss: 2.0181
Batch 90, Loss: 2.0244
Batch 100, Loss: 2.0119
Batch 110, Loss: 2.0097
Batch 120, Loss: 1.9650
Batch 130, Loss: 2.0540
Batch 140, Loss: 2.0218
Batch 150, Loss: 1.9680
Batch 160, Loss: 2.0005
Batch 170, Loss: 2.0250
Batch 180, Loss: 2.0025
Batch 190, Loss: 1.9481
Batch 200, Loss: 1.9336
Batch 210, Loss: 1.9860
Batch 220, Loss: 2.0160
Batch 230, Loss: 2.0018
Batch 240, Loss: 1.9811
Batch 250, Loss: 1.9815
Batch 260, Loss: 1.9953
Batch 270, Loss: 2.0251
Batch 280, Loss: 1.9903
Batch 290, Loss: 1.9485
Batch 300, Loss: 1.9562
Batch 310, Loss: 1.9433
Batch 320, Loss: 1.9482
Batch 330, Loss: 1.9461
Batch 340, Loss: 1.9345
Batch 350, Loss: 2.0030
Batch 360, Loss: 1.9382
Batch 370, Loss: 2.0228
Batch 380, Loss: 1.9545
Batch 390, Loss: 1.9330
Epoch 4 learning rate: 0.05
Epoch 4 time: 119.59197092056274 seconds
Epoch 4 accuracy: 15.39%
Batch 10, Loss: 2.0050
Batch 20, Loss: 1.9895
Batch 30, Loss: 1.9378
Batch 40, Loss: 1.9388
Batch 50, Loss: 1.9342
Batch 60, Loss: 1.9454
Batch 70, Loss: 1.9649
Batch 80, Loss: 1.9442
Batch 90, Loss: 1.9363
Batch 100, Loss: 1.9725
Batch 110, Loss: 1.9378
Batch 120, Loss: 1.9700
Batch 130, Loss: 1.9167
Batch 140, Loss: 1.9549
Batch 150, Loss: 1.9331
Batch 160, Loss: 1.9788
Batch 170, Loss: 1.9238
Batch 180, Loss: 1.9367
Batch 190, Loss: 1.9526
Batch 200, Loss: 1.8877
Batch 210, Loss: 1.9219
Batch 220, Loss: 2.0223
Batch 230, Loss: 1.9391
Batch 240, Loss: 1.9525
Batch 250, Loss: 1.9109
Batch 260, Loss: 1.9190
Batch 270, Loss: 1.9245
Batch 280, Loss: 1.9773
Batch 290, Loss: 1.9457
Batch 300, Loss: 1.9161
Batch 310, Loss: 1.9256
Batch 320, Loss: 1.9661
Batch 330, Loss: 1.9669
Batch 340, Loss: 1.9201
Batch 350, Loss: 1.9546
Batch 360, Loss: 1.9572
Batch 370, Loss: 1.9373
Batch 380, Loss: 1.9295
Batch 390, Loss: 1.9621
Epoch 5 learning rate: 0.05
Epoch 5 time: 119.6063003540039 seconds
Epoch 5 accuracy: 15.67%
Batch 10, Loss: 1.9410
Batch 20, Loss: 1.9617
Batch 30, Loss: 1.8695
Batch 40, Loss: 1.9648
Batch 50, Loss: 1.9427
Batch 60, Loss: 1.9369
Batch 70, Loss: 1.8912
Batch 80, Loss: 1.9074
Batch 90, Loss: 1.9323
Batch 100, Loss: 1.8861
Batch 110, Loss: 1.9050
Batch 120, Loss: 1.9050
Batch 130, Loss: 1.8973
Batch 140, Loss: 1.8944
Batch 150, Loss: 1.9310
Batch 160, Loss: 1.9318
Batch 170, Loss: 1.8888
Batch 180, Loss: 1.9158
Batch 190, Loss: 1.9522
Batch 200, Loss: 1.8987
Batch 210, Loss: 1.8951
Batch 220, Loss: 1.9040
Batch 230, Loss: 1.9034
Batch 240, Loss: 1.8928
Batch 250, Loss: 1.9432
Batch 260, Loss: 1.9253
Batch 270, Loss: 1.8952
Batch 280, Loss: 1.8668
Batch 290, Loss: 1.9064
Batch 300, Loss: 1.8742
Batch 310, Loss: 1.9104
Batch 320, Loss: 1.9059
Batch 330, Loss: 1.8772
Batch 340, Loss: 1.9040
Batch 350, Loss: 1.9303
Batch 360, Loss: 1.8771
Batch 370, Loss: 1.8695
Batch 380, Loss: 1.9132
Batch 390, Loss: 1.8593
Epoch 6 learning rate: 0.05
Epoch 6 time: 119.60399508476257 seconds
Epoch 6 accuracy: 14.58%
Batch 10, Loss: 1.8785
Batch 20, Loss: 1.8969
Batch 30, Loss: 1.8846
Batch 40, Loss: 1.8716
Batch 50, Loss: 1.8778
Batch 60, Loss: 1.8491
Batch 70, Loss: 1.8649
Batch 80, Loss: 1.8453
Batch 90, Loss: 1.8653
Batch 100, Loss: 1.8737
Batch 110, Loss: 1.8723
Batch 120, Loss: 1.8455
Batch 130, Loss: 1.8370
Batch 140, Loss: 1.8556
Batch 150, Loss: 1.8568
Batch 160, Loss: 1.8467
Batch 170, Loss: 1.8602
Batch 180, Loss: 1.8392
Batch 190, Loss: 1.8737
Batch 200, Loss: 1.8776
Batch 210, Loss: 1.8547
Batch 220, Loss: 1.8385
Batch 230, Loss: 1.8406
Batch 240, Loss: 1.8515
Batch 250, Loss: 1.8840
Batch 260, Loss: 1.8645
Batch 270, Loss: 1.8523
Batch 280, Loss: 1.9046
Batch 290, Loss: 1.8717
Batch 300, Loss: 1.8661
Batch 310, Loss: 1.8512
Batch 320, Loss: 1.8364
Batch 330, Loss: 1.8639
Batch 340, Loss: 1.8331
Batch 350, Loss: 1.8478
Batch 360, Loss: 1.8454
Batch 370, Loss: 1.8211
Batch 380, Loss: 1.8475
Batch 390, Loss: 1.8159
Epoch 7 learning rate: 0.05
Epoch 7 time: 119.57159948348999 seconds
Epoch 7 accuracy: 15.01%
Batch 10, Loss: 1.8300
Batch 20, Loss: 1.8313
Batch 30, Loss: 1.8278
Batch 40, Loss: 1.8368
Batch 50, Loss: 1.8303
Batch 60, Loss: 1.8444
Batch 70, Loss: 1.8427
Batch 80, Loss: 1.8085
Batch 90, Loss: 1.8232
Batch 100, Loss: 1.8161
Batch 110, Loss: 1.8209
Batch 120, Loss: 1.8207
Batch 130, Loss: 1.8145
Batch 140, Loss: 1.8182
Batch 150, Loss: 1.8138
Batch 160, Loss: 1.8036
Batch 170, Loss: 1.8127
Batch 180, Loss: 1.8131
Batch 190, Loss: 1.8001
Batch 200, Loss: 1.7889
Batch 210, Loss: 1.7900
Batch 220, Loss: 1.7886
Batch 230, Loss: 1.8112
Batch 240, Loss: 1.8161
Batch 250, Loss: 1.7948
Batch 260, Loss: 1.8031
Batch 270, Loss: 1.7903
Batch 280, Loss: 1.7841
Batch 290, Loss: 1.7921
Batch 300, Loss: 1.7949
Batch 310, Loss: 1.7813
Batch 320, Loss: 1.7752
Batch 330, Loss: 1.7872
Batch 340, Loss: 1.7950
Batch 350, Loss: 1.7472
Batch 360, Loss: 1.7869
Batch 370, Loss: 1.7677
Batch 380, Loss: 1.7726
Batch 390, Loss: 1.7929
Epoch 8 learning rate: 0.05
Epoch 8 time: 119.8002724647522 seconds
Epoch 8 accuracy: 14.02%
Batch 10, Loss: 1.7870
Batch 20, Loss: 1.7680
Batch 30, Loss: 1.7658
Batch 40, Loss: 1.7609
Batch 50, Loss: 1.7788
Batch 60, Loss: 1.7633
Batch 70, Loss: 1.7612
Batch 80, Loss: 1.7664
Batch 90, Loss: 1.7722
Batch 100, Loss: 1.7668
Batch 110, Loss: 1.7636
Batch 120, Loss: 1.7456
Batch 130, Loss: 1.7549
Batch 140, Loss: 1.7578
Batch 150, Loss: 1.7643
Batch 160, Loss: 1.7606
Batch 170, Loss: 1.7837
Batch 180, Loss: 1.7592
Batch 190, Loss: 1.7420
Batch 200, Loss: 1.7460
Batch 210, Loss: 1.7512
Batch 220, Loss: 1.7560
Batch 230, Loss: 1.7561
Batch 240, Loss: 1.7508
Batch 250, Loss: 1.7530
Batch 260, Loss: 1.7658
Batch 270, Loss: 1.7463
Batch 280, Loss: 1.7507
Batch 290, Loss: 1.7358
Batch 300, Loss: 1.7463
Batch 310, Loss: 1.7569
Batch 320, Loss: 1.7494
Batch 330, Loss: 1.7486
Batch 340, Loss: 1.7460
Batch 350, Loss: 1.7466
Batch 360, Loss: 1.7403
Batch 370, Loss: 1.7424
Batch 380, Loss: 1.7594
Batch 390, Loss: 1.7697
Epoch 9 learning rate: 0.05
Epoch 9 time: 119.83865880966187 seconds
Epoch 9 accuracy: 14.9%
Batch 10, Loss: 1.7565
Batch 20, Loss: 1.7400
Batch 30, Loss: 1.7412
Batch 40, Loss: 1.7432
Batch 50, Loss: 1.7388
Batch 60, Loss: 1.7476
Batch 70, Loss: 1.7388
Batch 80, Loss: 1.7392
Batch 90, Loss: 1.7479
Batch 100, Loss: 1.7529
Batch 110, Loss: 1.7324
Batch 120, Loss: 1.7418
Batch 130, Loss: 1.7336
Batch 140, Loss: 1.7540
Batch 150, Loss: 1.7350
Batch 160, Loss: 1.7371
Batch 170, Loss: 1.7479
Batch 180, Loss: 1.7548
Batch 190, Loss: 1.7313
Batch 200, Loss: 1.7434
Batch 210, Loss: 1.7471
Batch 220, Loss: 1.7424
Batch 230, Loss: 1.7421
Batch 240, Loss: 1.7378
Batch 250, Loss: 1.7310
Batch 260, Loss: 1.7320
Batch 270, Loss: 1.7471
Batch 280, Loss: 1.7338
Batch 290, Loss: 1.7424
Batch 300, Loss: 1.7477
Batch 310, Loss: 1.7339
Batch 320, Loss: 1.7454
Batch 330, Loss: 1.7432
Batch 340, Loss: 1.7491
Batch 350, Loss: 1.7423
Batch 360, Loss: 1.7407
