The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:187: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GNOM
Using Gradient-Norm Only Minimization (GNOM)
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 51386.8692
Batch 20, Loss: 46470.9398
Batch 30, Loss: 52295.2008
Batch 40, Loss: 226640.3102
Batch 50, Loss: 47685.5904
Batch 60, Loss: 14062.5862
Batch 70, Loss: 8043.3873
Batch 80, Loss: 6934.1269
Batch 90, Loss: 5601.7041
Batch 100, Loss: 4924.8349
Batch 110, Loss: 5028.6419
Batch 120, Loss: 3286.5917
Batch 130, Loss: 2384.6781
Batch 140, Loss: 1992.0331
Batch 150, Loss: 1814.5764
Batch 160, Loss: 1685.0569
Batch 170, Loss: 1482.4244
Batch 180, Loss: 1266.7300
Batch 190, Loss: 1128.8009
Batch 200, Loss: 1031.6796
Batch 210, Loss: 883.0393
Batch 220, Loss: 1062.6896
Batch 230, Loss: 1033.3815
Batch 240, Loss: 973.2519
Batch 250, Loss: 898.2566
Batch 260, Loss: 714.9741
Batch 270, Loss: 656.0884
Batch 280, Loss: 783.8589
Batch 290, Loss: 697.8870
Batch 300, Loss: 601.4173
Batch 310, Loss: 474.5707
Batch 320, Loss: 1234.0798
Batch 330, Loss: 1382.8461
Batch 340, Loss: 1082.4871
Batch 350, Loss: 618.4385
Batch 360, Loss: 609.7166
