The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:183: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GNOM
Using Gradient-Norm Only Minimization (GNOM)
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 81.8815
Batch 20, Loss: 98.5425
Batch 30, Loss: 99.7905
Batch 40, Loss: 78.0230
Batch 50, Loss: 74.9933
Batch 60, Loss: 31.4305
Batch 70, Loss: 40.9567
Batch 80, Loss: 38.9315
Batch 90, Loss: 22.5537
Batch 100, Loss: 15.0754
Batch 110, Loss: 17.4968
Batch 120, Loss: 13.3948
Batch 130, Loss: 12.7393
Batch 140, Loss: 10.6924
Batch 150, Loss: 10.1727
Batch 160, Loss: 10.4510
Batch 170, Loss: 9.4475
Batch 180, Loss: 9.2563
Batch 190, Loss: 8.5862
Batch 200, Loss: 9.1743
Batch 210, Loss: 8.0325
Batch 220, Loss: 8.5668
Batch 230, Loss: 8.1587
Batch 240, Loss: 8.3810
Batch 250, Loss: 8.0704
Batch 260, Loss: 7.5461
Batch 270, Loss: 7.5827
Batch 280, Loss: 7.5124
Batch 290, Loss: 6.9670
Batch 300, Loss: 6.6934
Batch 310, Loss: 6.8601
Batch 320, Loss: 6.8277
Batch 330, Loss: 6.5228
Batch 340, Loss: 6.3367
Batch 350, Loss: 6.3623
Batch 360, Loss: 6.5165
Batch 370, Loss: 6.8779
Batch 380, Loss: 6.3518
Batch 390, Loss: 6.0079
Epoch 1 learning rate: 0.09999383162408304
Epoch 1 time: 127.61194491386414 seconds
Epoch 1 accuracy: 11.58%
Batch 10, Loss: 6.1022
Batch 20, Loss: 6.2002
Batch 30, Loss: 5.9615
Batch 40, Loss: 5.8997
Batch 50, Loss: 5.6201
Batch 60, Loss: 6.1059
Batch 70, Loss: 5.7018
Batch 80, Loss: 5.7495
Batch 90, Loss: 5.8217
Batch 100, Loss: 5.6090
Batch 110, Loss: 5.9247
Batch 120, Loss: 5.8618
Batch 130, Loss: 5.5824
Batch 140, Loss: 5.4452
Batch 150, Loss: 5.3822
Batch 160, Loss: 5.3356
Batch 170, Loss: 5.4829
Batch 180, Loss: 5.2828
Batch 190, Loss: 5.2573
Batch 200, Loss: 5.1566
Batch 210, Loss: 5.1341
Batch 220, Loss: 5.2259
Batch 230, Loss: 5.2108
Batch 240, Loss: 5.1540
Batch 250, Loss: 5.1943
Batch 260, Loss: 5.0288
