The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:187: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GNOM
Using Gradient-Norm Only Minimization (GNOM)
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 934.1079
Batch 20, Loss: 2617.8316
Batch 30, Loss: 607.5703
Batch 40, Loss: 636.3175
Batch 50, Loss: 278.7038
Batch 60, Loss: 148.0725
Batch 70, Loss: 85.7214
Batch 80, Loss: 78.3144
Batch 90, Loss: 60.4692
Batch 100, Loss: 60.9850
Batch 110, Loss: 68.5005
Batch 120, Loss: 57.6194
Batch 130, Loss: 65.2846
Batch 140, Loss: 281.4771
Batch 150, Loss: 552.1223
Batch 160, Loss: 566.2563
Batch 170, Loss: 1520.5267
Batch 180, Loss: 2550.2492
Batch 190, Loss: 1079.8151
Batch 200, Loss: 519.5158
Batch 210, Loss: 282.6862
Batch 220, Loss: 314.2252
Batch 230, Loss: 130.4872
Batch 240, Loss: 105.6127
Batch 250, Loss: 105.8621
Batch 260, Loss: 93.9422
Batch 270, Loss: 79.4439
Batch 280, Loss: 67.0296
Batch 290, Loss: 76.9495
Batch 300, Loss: 68.1647
Batch 310, Loss: 53.5894
Batch 320, Loss: 63.9569
Batch 330, Loss: 58.6947
Batch 340, Loss: 59.3955
Batch 350, Loss: 56.9288
Batch 360, Loss: 55.9534
Batch 370, Loss: 56.3945
Batch 380, Loss: 48.0928
Batch 390, Loss: 48.4546
Epoch 1 learning rate: 0.2
Epoch 1 time: 127.53769135475159 seconds
Epoch 1 accuracy: 10.3%
Batch 10, Loss: 47.6774
Batch 20, Loss: 45.0722
Batch 30, Loss: 49.5841
Batch 40, Loss: 46.4541
Batch 50, Loss: 44.8549
Batch 60, Loss: 45.3894
Batch 70, Loss: 45.2374
Batch 80, Loss: 42.4227
Batch 90, Loss: 40.2328
Batch 100, Loss: 41.4130
Batch 110, Loss: 41.1028
Batch 120, Loss: 39.0627
Batch 130, Loss: 39.7843
Batch 140, Loss: 39.8455
Batch 150, Loss: 38.5399
Batch 160, Loss: 38.3834
Batch 170, Loss: 37.9751
Batch 180, Loss: 36.8372
Batch 190, Loss: 37.3709
Batch 200, Loss: 35.4677
Batch 210, Loss: 36.0340
Batch 220, Loss: 36.1968
Batch 230, Loss: 34.9771
Batch 240, Loss: 34.9550
Batch 250, Loss: 34.0056
Batch 260, Loss: 33.9141
Batch 270, Loss: 33.2325
