The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6070520/tkleinkn/Vanilla-GAM/main_cifar.py:216: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
model name space ['resnet101_c', 'resnet152_c', 'resnet18_c', 'resnet34_c', 'resnet50_c']
Use GPU: 0 for training
=> creating model 'resnet18_c'
Files already downloaded and verified
Files already downloaded and verified
tensorboard dir ./results/CIFAR10/GAMNonAccelerated/basicaug/lr-0.1/batchsize-128/2024-08-04-19:31:39
Using non-accelerated GAM
/home/tkleinkn/GAMtest/lib/python3.11/site-packages/torch/autograd/graph.py:744: UserWarning: Using backward() with create_graph=True will create a reference cycle between the parameter and its gradient which can cause a memory leak. We recommend using autograd.grad when creating the graph to avoid this. If you have to use this function, make sure to reset the .grad fields of your parameters to None after use to break the cycle and avoid the leak. (Triggered internally at /home/coulombc/wheels_builder/tmp.2617/python-3.11/torch/torch/csrc/autograd/engine.cpp:1203.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Batch 10, Loss: 5.3241
Batch 20, Loss: 3.6690
Batch 30, Loss: 1.9325
Batch 40, Loss: 1.7970
Batch 50, Loss: 1.7437
Batch 60, Loss: 1.7241
Batch 70, Loss: 1.6265
Batch 80, Loss: 1.6027
Batch 90, Loss: 1.5677
Batch 100, Loss: 1.5717
Batch 110, Loss: 1.5600
Batch 120, Loss: 1.5453
Batch 130, Loss: 1.5473
Batch 140, Loss: 1.5078
Batch 150, Loss: 1.5442
Batch 160, Loss: 1.4949
Batch 170, Loss: 1.5208
Batch 180, Loss: 1.4788
Batch 190, Loss: 1.4772
Batch 200, Loss: 1.4766
Batch 210, Loss: 1.4637
Batch 220, Loss: 1.4477
Batch 230, Loss: 1.4522
Batch 240, Loss: 1.4329
Batch 250, Loss: 1.4263
Batch 260, Loss: 1.4298
Batch 270, Loss: 1.4092
Batch 280, Loss: 1.4240
Batch 290, Loss: 1.4048
Batch 300, Loss: 1.3779
Batch 310, Loss: 1.3882
Batch 320, Loss: 1.3960
Batch 330, Loss: 1.3574
Batch 340, Loss: 1.3512
Batch 350, Loss: 1.3432
Batch 360, Loss: 1.3336
Batch 370, Loss: 1.3042
Batch 380, Loss: 1.3382
Batch 390, Loss: 1.3215
Epoch 1 learning rate: 0.09990133642141358
Epoch 1 time: 245.76387858390808 seconds
Epoch 1 accuracy: 37.85%
Batch 10, Loss: 1.2907
Batch 20, Loss: 1.2941
Batch 30, Loss: 1.2951
Batch 40, Loss: 1.2644
Batch 50, Loss: 1.2902
Batch 60, Loss: 1.2845
Batch 70, Loss: 1.2919
Batch 80, Loss: 1.2381
Batch 90, Loss: 1.2406
Batch 100, Loss: 1.2461
Batch 110, Loss: 1.2678
Batch 120, Loss: 1.2464
Batch 130, Loss: 1.2149
Batch 140, Loss: 1.2248
Batch 150, Loss: 1.2227
Batch 160, Loss: 1.2091
Batch 170, Loss: 1.2034
Batch 180, Loss: 1.2675
Batch 190, Loss: 1.2208
Batch 200, Loss: 1.1732
Batch 210, Loss: 1.2341
Batch 220, Loss: 1.1789
Batch 230, Loss: 1.2280
Batch 240, Loss: 1.1760
Batch 250, Loss: 1.1438
Batch 260, Loss: 1.1923
Batch 270, Loss: 1.1539
Batch 280, Loss: 1.1385
Batch 290, Loss: 1.1778
Batch 300, Loss: 1.1541
Batch 310, Loss: 1.1553
Batch 320, Loss: 1.1195
Batch 330, Loss: 1.1357
Batch 340, Loss: 1.1606
Batch 350, Loss: 1.1210
Batch 360, Loss: 1.2126
Batch 370, Loss: 1.1180
Batch 380, Loss: 1.1351
Batch 390, Loss: 1.0899
Epoch 2 learning rate: 0.0996057350657239
Epoch 2 time: 236.65310096740723 seconds
Epoch 2 accuracy: 47.47%
Batch 10, Loss: 1.1188
Batch 20, Loss: 1.0716
Batch 30, Loss: 1.0731
Batch 40, Loss: 1.1136
Batch 50, Loss: 1.1090
Batch 60, Loss: 1.1001
Batch 70, Loss: 1.0641
Batch 80, Loss: 1.0815
Batch 90, Loss: 1.0611
Batch 100, Loss: 1.0579
Batch 110, Loss: 1.0381
Batch 120, Loss: 1.0128
Batch 130, Loss: 1.0475
Batch 140, Loss: 1.0215
Batch 150, Loss: 1.0440
Batch 160, Loss: 1.0442
Batch 170, Loss: 1.0163
Batch 180, Loss: 0.9718
Batch 190, Loss: 1.0806
Batch 200, Loss: 1.0392
Batch 210, Loss: 1.0380
Batch 220, Loss: 0.9735
Batch 230, Loss: 1.0019
Batch 240, Loss: 1.0235
Batch 250, Loss: 0.9954
Batch 260, Loss: 1.0482
Batch 270, Loss: 0.9937
Batch 280, Loss: 1.0146
Batch 290, Loss: 1.0083
